Parent	Parent_Index	Parent_Type	Target	Target_Index	Target_Type	Interaction
PDK1_bound_to_either_PIP3_or_PI(34)P2_(complex)	11644	complex	CARMA1_trimer_(complex)	2236	complex	component>
Methylcytosine/_MBD2_Complex_(complex)	8849	complex	UBF-1/rDNA_Promoter_(complex)	16253	complex	-a|
CGRP_receptor/CGRP_ligands_(complex)	2804	complex	Ligand/GPCR_complexes_that_activate_Gs_(family)	8308	family	member>
TERT_transcription_factors	15470	protein	TERT	15469	protein	-a>
dsRNA/RIG-I/MDA5/IPS-1/RIP-1/FADD/procaspase-8/10_dimer_(complex)	3957	complex	dsRNA/RIG-I/MDA5/TRAF2/TRAF6/IPS-1/RIP-1/FADD/Casp-8/10_prodomain_(complex)	3966	complex	-a>
EIF4F_(complex)	4376	complex	eIF4F/mRNA_(complex)	4377	complex	component>
A2a/A2b_receptor/Adenosine_(complex)	89	complex	Ligand/GPCR_complexes_that_activate_Gs_(family)	8308	family	member>
Ku_proteins_bound_to_viral_DNA_(complex)	8089	complex	viral_DNA/Ku_proteins/XRCC4/DNA_ligase_IV_complex_(complex)	16620	complex	component>
VCAN/TLR2/TLR1_(complex)	16472	complex	regulation_of_interleukin-6_production_(abstract)	13403	abstract	-a>
Ephrin_A5/EPHA3-4-5-6-7_(complex)	4537	complex	CDK5	2638	protein	-a|
CLTA	2990	protein	CLTA-2	2991	protein	-a>
CLTA	2990	protein	Clathrin_Triskelion_(complex)	2943	complex	component>
CLTA	2990	protein	Clathrin_light_chain_A_(family)	2941	family	member>
AKAP1	561	protein	degradation_(abstract)	3667	abstract	-a|
AKAP1	561	protein	Dual-specific_AKAPs_(family)	3974	family	member>
EIF2S3	4346	protein	48s_Ribosome_subunit_(complex)	53	complex	component>
ECS_(Elongin-Cullin-SOCS)_E3_ligase_(complex)	4152	complex	E3_ligases_in_proteasomal_degradation_(family)	4135	family	member>
G_protein-GDP_complex_(complex)	5410	complex	Opioid/MOR/G_protein-GDP_complex_(complex)	10224	complex	component>
G_protein-GTP_(complex)	5411	complex	Opioid/MOR/G_protein-GTP_complex_(complex)	10225	complex	component>
RET51/GFRalpha1/GDNF/SHC_(complex)	13498	complex	RET51/GFRalpha1/GDNF/SHC/Grb2/SOS1_(complex)	13500	complex	component>
TNF-alpha/TNFR1A_(complex)	15757	complex	NF_kappa_B/RelA_(complex)	9599	complex	-a>
ATM_(dimer)_(complex)	1399	complex	ATM_(dimer)/TRF2_(complex)	1400	complex	component>
ERBB2IP	4630	protein	ERBB2/ERBB2IP/HSP90/CDC37_(complex)	4619	complex	component>
DOCK-GEFs_(family)	3855	family	DOCK-GEFs/RAC1_CDC42_(complex)	3856	complex	component>
TAp63a_(dimer)_(complex)	15303	complex	TAp63a_(tetramer)_(complex)	15304	complex	component>
Nup107-160_complex_(complex)	10125	complex	Kinetochore_(complex)	7981	complex	component>
Ca_permeable_AMPA_receptors_(family)	2043	family	Ca_permeable_AMPA_receptor_ligand_complex_(complex)	2042	complex	component>
dsRNA/RIG-I/MDA5/IPS-1/TRAF2/TRAF6/TANK_(complex)	3960	complex	dsRNA/RIG-I/MDA5/IPS-1/TRAF2/TRAF6/TANK/TBK1/IKKi_(complex)	3961	complex	component>
Translocon-associated_Complex_(complex)	15944	complex	Translocon/TRAP_(complex)	15945	complex	component>
DP1/2_(family)	3893	family	p130/E2F4/5/DP1/2_(complex)	11089	complex	component>
DP1/2_(family)	3893	family	E2F4/DP1/2_(complex)	4121	complex	component>
DP1/2_(family)	3893	family	E2F4/5/DP1/2_(complex)	4119	complex	component>
RPTOR	13888	protein	RPS6KB1	13876	protein	-a|
RPTOR	13888	protein	Raptor_(family)	13228	family	member>
LHCGR/beta_Arrestin2_(complex)	8265	complex	desensitization_of_G-protein_coupled_receptor_protein_signaling_pathway_(abstract)	3686	abstract	-a>
ERBB4jmAcyt1s80/NEDD4_(complex)	4670	complex	Ub-ERBB4jmAcyt1s80/NEDD4_(complex)	16188	complex	-a>
ERBB4jmAcyt1s80/NEDD4_(complex)	4670	complex	Ub-ERBB4jmAcyt1s80/NEDD4_(complex)	16188	complex	component>
EGF/Phospho-EGFR-SHC_(complex)	4256	complex	EGF/p-6Y-EGFR/p-Y349350-SHC1_(complex)	4229	complex	-a>
IRAK1/p-S2T-IRAK4/oligo-MyD88/activated_TLR5/10_(complex)	7601	complex	p-IRAK1/p-IRAK4/oligo-MyD88l/activated_TLR5_or_10_(complex)	10684	complex	-a>
Caspase_7_(tetramer)_(complex)	2265	complex	PARP1_(cleaved)_(family)	11435	family	-a>
Caspase_7_(tetramer)_(complex)	2265	complex	VIM	16608	protein	-a|
p107-p130_(family)	11048	family	E2F4/DP2/p107-p130/HDAC1_(complex)	4125	complex	component>
p107-p130_(family)	11048	family	E2F4/DP2/p107-p130_(complex)	4124	complex	component>
PRKCZ	12599	protein	AKT1	576	protein	-a>
PRKCZ	12599	protein	actin_cytoskeleton_organization_(abstract)	211	abstract	-a>
PRKCZ	12599	protein	regulation_of_heterotypic_cell-cell_adhesion_(abstract)	13400	abstract	-a>
PRKCZ	12599	protein	NFAT1-c-4_(family)	9637	family	-a|
PRKCZ	12599	protein	RKIP/RAF1_(complex)	13669	complex	-a|
PRKCZ	12599	protein	PKC_zeta/Par3/Par6/CDC42/GTP_(complex)	12124	complex	component>
PRKCZ	12599	protein	PKC_zeta/Par3/Par6_(complex)	12123	complex	component>
PRKCZ	12599	protein	Par6/PKC_zeta_(complex)	11422	complex	component>
PRKCZ	12599	protein	PKC_zeta/ceramide_(complex)	12122	complex	component>
PRKCZ	12599	protein	PKC_zeta/PAR4_(complex)	12125	complex	component>
PRKCZ	12599	protein	PKC_zeta/Par6/CDC42/GTP_(complex)	12126	complex	component>
PRKCZ	12599	protein	PIP3/PDK1/AKT/PKC_zeta_(complex)	12078	complex	component>
PRKCZ	12599	protein	PIP3/PDK1/AKT/p(T410)-PKC_zeta_(complex)	12077	complex	component>
PRKCZ	12599	protein	Atypical_PKCs_(family)	1484	family	member>
PP2A_(Calpha/Cbeta)_(family)	12412	family	PP2A_(A/C)_(complex)	12407	complex	component>
PP2A-catalytic_subunit_C_(family)	12425	family	PP2A-ABdeltaC_complex_(complex)	12422	complex	component>
PP2A-catalytic_subunit_C_(family)	12425	family	Inactive_PP2A-ABdeltaC_complex_(complex)	7349	complex	component>
Importin_alpha_(family)	7334	family	Importin_alpha/Importin_beta/TPX2_(complex)	7335	complex	component>
Importin_alpha_(family)	7334	family	Importin_(family)	7333	family	member>
E4ICDs/TAB2/NCoR1_(complex)	4140	complex	glial_cell_differentiation_(abstract)	5766	abstract	-a|
Phosphorylated_SHC1_p46_and_p52_(family)	11966	family	Activated_FGFR/p-SHC1_(complex)	257	complex	component>
SHC1_p46_and_p52_(family)	14245	family	Activated_FGFR/SHC1_(complex)	260	complex	component>
STAT5A/B_(dimer)_(complex)	14935	complex	STAT5_(dimer)_(family)	14926	family	member>
PPARA/RXRA_Heterodimer_(complex)	12460	complex	PPARA/RXRA_Repressor_Complex_(complex)	12461	complex	component>
AMY_receptors_(family)	955	family	AMY_receptors/Amylin_(complex)	956	complex	component>
AMY_receptors_(family)	955	family	GPCRs_that_activate_Gs_(family)	5977	family	member>
DNA-PK/DNA_complex_(complex)	3812	complex	DNA-PK/DNA/DNA-PK/DNA_complex_(complex)	3814	complex	component>
Hck-Fgr-Lyn_(family)	6282	family	IL8/CXCR1/beta_Arrestin1-2/Hck-Fgr-Lyn_(complex)	7299	complex	component>
Hck-Fgr-Lyn_(family)	6282	family	GNAI2/GTP/Hck-Fgr-Lyn_(complex)	5875	complex	component>
Plexin_bound_with_Fyn_(complex)	12208	complex	Nrp-1_complexed_with_PlexinA/Fyn_(complex)	10005	complex	component>
eIF4F/mRNA_(complex)	4377	complex	48s_Ribosome_subunit_(complex)	53	complex	component>
Importin-alpha/Importin-beta/NuMA/Tpx2_(complex)	7340	complex	NuMA/Tpx2_(complex)	10117	complex	component>
Importin-alpha/Importin-beta/NuMA/Tpx2_(complex)	7340	complex	Importin-alpha/Importin-beta_(complex)	7338	complex	component>
Importin-alpha/Importin-beta/NuMA/Tpx2_(complex)	7340	complex	Importin-alpha/Importin-beta_(complex)	7338	complex	component>
LFNG	8258	protein	NICD_(family)	9725	family	-a|
RARs_(family)	13242	family	AKT1	576	protein	-a|
RARs_(family)	13242	family	RARs/AIB1/Cbp/p300/PCAF/9cRA_(complex)	13243	complex	component>
RARs_(family)	13242	family	RXRs/RARs/NRIP1/9cRA_(complex)	13964	complex	component>
RARs_(family)	13242	family	RXRs/RARs/SMRT(N-CoR2)/9cRA_(complex)	13967	complex	component>
RARs_(family)	13242	family	RXRs/RARs_(complex)	13963	complex	component>
K63-linked_poly-Ub-p-3S3T-IRAK1/TRAF6_(complex)	7823	complex	TRAF6/K63-linked_polyUb_p-IRAK1/IKK_complex_(complex)	15895	complex	component>
RXRs/RARs_(complex)	13963	complex	RXRs/RARs/SMRT(N-CoR2)/9cRA_(complex)	13967	complex	component>
RXRs/RARs_(complex)	13963	complex	RXRs/RARs/NRIP1/9cRA_(complex)	13964	complex	component>
p-IRAK1/p-IRAK4/oligo-MyD88l/activated_TLR5_or_10_(complex)	10684	complex	pp-IRAK1/p-IRAK4/oligo-MyD88_/activated_TLR5_or_10_complex_(complex)	12400	complex	-a>
KPNA2	8055	protein	SMAD2/SMAD2/SMAD4_(complex)	14481	complex	-a|
KPNA2	8055	protein	RCH1/_importin_beta_(complex)	13348	complex	component>
KPNA2	8055	protein	Cargo/Importin-alpha/Ran/GTP/Importin-beta_(complex)	2231	complex	component>
KPNA2	8055	protein	Importin-alpha/Importin-beta/NuMA/Tpx2_(complex)	7340	complex	component>
KPNA2	8055	protein	Importin-alpha/Importin-beta_(complex)	7338	complex	component>
KPNA2	8055	protein	Importin-alpha/Importin-beta_(complex)	7338	complex	component>
KPNA2	8055	protein	Cargo/Importin-alpha/Ran/GDP/Importin-beta/NTF2_(complex)	2230	complex	component>
KPNA2	8055	protein	Cargo/Importin-alpha_(complex)	2229	complex	component>
KPNA2	8055	protein	Cargo/Importin-alpha/Ran/GTP/Importin-beta/NTF2_(complex)	2232	complex	component>
KPNA2	8055	protein	Importin_alpha_(family)	7334	family	member>
pp-IRAK1/p-IRAK4/oligo-MyD88_/activated_TLR5_or_10_complex_(complex)	12400	complex	hp-IRAK1/activated_IRAK4/MyD88oligomer/activated_TLR5_or_10_(complex)	6720	complex	-a>
E2_enzyme_(UBE2K_UbcH5a-c)_(family)	4051	family	RNF125/E2_enzyme_(UBE2K_UbcH5a-c)/K48-polyubiquitin_(complex)	13721	complex	component>
14-3-3_family_(family)	20	family	SIK1/14-3-3_family_(complex)	14299	complex	component>
14-3-3_family_(family)	20	family	alpha6/beta4_Integrin/Laminin/14-3-3_(complex)	770	complex	component>
14-3-3_family_(family)	20	family	SIK3/14-3-3_family_(complex)	14302	complex	component>
14-3-3_family_(family)	20	family	TSC1/TSC2/14-3-3_family_(complex)	16028	complex	component>
14-3-3_family_(family)	20	family	14-3-3_family/TSC2_(complex)	23	complex	component>
14-3-3_family_(family)	20	family	KSR/14-3-3_(complex)	8082	complex	component>
14-3-3_family_(family)	20	family	REDD1/14-3-3_family_(complex)	13364	complex	component>
14-3-3_family_(family)	20	family	FOXO4/14-3-3_family_(complex)	5308	complex	component>
14-3-3_family_(family)	20	family	KSR/14-3-3_(dimer)/MEK1-2_(complex)	8083	complex	component>
14-3-3_family_(family)	20	family	FOXO1-3a-4/14-3-3_family_(complex)	5296	complex	component>
14-3-3_family_(family)	20	family	KSR/14-3-3_/MEK1-2_(complex)	8084	complex	component>
APOBEC3G/Vif/Cul5/SCF_complex_(complex)	1110	complex	multi-ubiquitinated_APOBEC3G/Vif/Cul5/SCF_complex_(complex)	9143	complex	-a>
APOBEC3G/Vif/Cul5/SCF_complex_(complex)	1110	complex	multi-ubiquitinated_APOBEC3G/Vif/Cul5/SCF_complex_(complex)	9143	complex	component>
HDAC/NCOR1/ALIEN_(complex)	6294	complex	histone_deacetylation_(abstract)	6537	abstract	-a>
SMAD2-3/SMAD4_(complex)	14469	complex	SMAD2-3/SMAD4/MYC/Max/MIZ-1_(complex)	14474	complex	component>
SMAD2-3/SMAD4_(complex)	14469	complex	SMAD2-3/SMAD4/SP1_(complex)	14475	complex	component>
MAPK14-2	8604	protein	MAP_kinase_p38_(family)	8559	family	member>
MAPK14-3	8605	protein	MAP_kinase_p38_(family)	8559	family	member>
MAPK14-4	8606	protein	MAP_kinase_p38_(family)	8559	family	member>
PPAR-alpha/Co-Repressors_(complex)	12446	complex	PPAR-alpha/PPAR_ligands_(complex)	12449	complex	component>
NCOA3	9344	protein	XBP1	16789	protein	-t>
NCOA3	9344	protein	DSCAM	3924	protein	-t>
NCOA3	9344	protein	SOD1	14645	protein	-t>
NCOA3	9344	protein	RARs/AIB1/Cbp/p300/PCAF/9cRA_(complex)	13243	complex	component>
TGFB_family_(dimer)_(family)	15536	family	TGFB/TGFBR2/TGFBR1/ENDOFIN/SMAD4_(complex)	15542	complex	component>
TGFB_family_(dimer)_(family)	15536	family	TGFB/TGFBR2/TGFBR1/PML/SARA/SMAD2-3/AP2B2_(complex)	15548	complex	component>
TGFB_family_(dimer)_(family)	15536	family	TGFB/TGFBR2/TGFBR1/SMAD7/SMURF1-2/CAV1_(complex)	15552	complex	component>
TGFB_family_(dimer)_(family)	15536	family	TGFB/TGFBR2/TGFBR1/STRAP/SMAD7/NEDD4-2_(complex)	15556	complex	component>
TGFB_family_(dimer)_(family)	15536	family	TGFB/TGFBR2/TGFBR1/WWP1/SMAD7_(complex)	15557	complex	component>
TGFB_family_(dimer)_(family)	15536	family	TGFB/TGFBR2/TGFBR1/km23-1/SMAD2_(complex)	15544	complex	component>
TGFB_family_(dimer)_(family)	15536	family	TGFB/TGFBR2/TGFBR1/ENDOFIN_(complex)	15541	complex	component>
AR/RACK1/Src_(complex)	1155	complex	KLK3	8035	protein	-t>
hp-IRAK1_or_p-IRAK2_/_pIRAK4/MyD88/activated_TLR5/10_(complex)	6715	complex	TRAF6/hp-IRAK1/or_p-IRAK2/p-IRAK4/oligo-MyD88_/activated_TLR5_or_10_(complex)	15892	complex	component>
EIF1AX	4323	protein	40S/eIF3/eIF1A_(complex)	46	complex	component>
endocytosis_(abstract)	4439	abstract	FADD/FADD/CASP8/CASP8_(complex)	4882	complex	-a>
endocytosis_(abstract)	4439	abstract	IL5/IL5RA/CSF2RB_(hexamer)/JAK2/JAK2_(complex)	7252	complex	-a>
endocytosis_(abstract)	4439	abstract	NOTCH1_heterodimer_(complex)	9818	complex	-a|
TP_receptor/Thromboxane_A2/G-protein_G13_(inactive)_(complex)	15832	complex	TP_receptor/Thromboxane_A2/G-protein_G13_(active)_(complex)	15831	complex	-a>
Ku/Artemis/DNA-PKcs_(dimer)/POLL_(complex)	8100	complex	Ku/Artemis/DNA-PKcs_(dimer)/POLL/XRCC4_(dimer)/Ligase_IV_(complex)	8101	complex	component>
PINCH_(family)	12061	family	PINCH-ILK-parvin_complex_(complex)	12062	complex	component>
EGF/p-6Y-EGFR/p-Y349350-SHC1_(complex)	4229	complex	GRB2/SOS-Phospho-SHC/EGF/Phospho-EGFR_dimer_(complex)	6068	complex	component>
NFATC1-2	9656	protein	activation-induced_cell_death_of_T_cells_(abstract)	347	abstract	-a|
pSIRP_alpha/CD47/SCAP2_(complex)	12776	complex	pSIRP_alpha/CD47/SCAP2/FYB_(complex)	12777	complex	component>
phospho-Emi1(Ser_182)/Cdc20/Cdh1/complexes_(complex)	11838	complex	phospho-Emi1/Cdc20/Cdh1_complexes_(family)	11839	family	member>
MAM_(family)	8545	family	CSL_NICD_coactivator_complex_(complex)	3285	complex	component>
hp-IRAK1/K6-polyUb_TRAF6_(complex)	6724	complex	hp-IRAK1/K6_poly-Ub_oligo-TRAF6_(complex)	6721	complex	component>
EIF2B5	4339	protein	eIF2B_subunits_complex_(complex)	4334	complex	component>
Cargo/Importin-alpha/Ran/GTP/Importin-beta_(complex)	2231	complex	Cargo/Importin-alpha/Ran/GTP/Importin-beta/NTF2_(complex)	2232	complex	component>
MYOD/Cbp/p300_(complex)	9243	complex	MYOD/Cbp/p300/Myb_(complex)	9244	complex	component>
MYC/Max/HDAC3_(complex)	9186	complex	ID2	6855	protein	-t|
MYC/Max/HDAC3_(complex)	9186	complex	DDIT3	3600	protein	-t|
Cadherin/Catenin_(complex)	2087	complex	Trans-cadherin_homodimers_(complex)	15925	complex	component>
SMAD1-5-8_(family)	14461	family	SMAD4/SMAD1-5-8_(dimer)_(complex)	14514	complex	component>
LAT/GRAP2/SLP76/VAV1/NCK1_(complex)	8208	complex	WAS	16695	protein	-a|
PPAR_chaperone_(family)	12442	family	PPAR-alpha/PPAR_chaperone_(complex)	12448	complex	component>
TK1	15683	protein	thymidine_kinase_1_soluble_holoenzyme_(complex)	15624	complex	component>
NOTCH4	9838	protein	NTM4/NEC4_heterodimer_(complex)	10067	complex	component>
NOTCH4	9838	protein	NTM-NEC_4_heterodimer_(complex)	10059	complex	component>
NOTCH4	9838	protein	NICD_(family)	9725	family	member>
YY1	16832	protein	YY1/SAP30/HDAC1_(complex)	16838	complex	component>
YY1	16832	protein	E2F3/DP/RYBP/YY1_(complex)	4114	complex	component>
YY1	16832	protein	YY1/HDAC3_(complex)	16835	complex	component>
YY1	16832	protein	YY1/HDAC2_(complex)	16834	complex	component>
YY1	16832	protein	E2F2/DP/RYBP/YY1_(complex)	4111	complex	component>
YY1	16832	protein	RYBP/YY1_(complex)	13971	complex	component>
YY1	16832	protein	PRC2_complex_(complex)	12534	complex	component>
BRCA1/BARD1/p53_(complex)	1909	complex	G1/S_transition_of_mitotic_cell_cycle_(abstract)	5484	abstract	-a|
Typical_PKCs_(family)	16130	family	muscle_contraction_(abstract)	9157	abstract	-a>
Typical_PKCs_(family)	16130	family	CABIN1	2053	protein	-a|
ErbB4/ErbB4/neuregulin_1_beta/neuregulin_1_beta_(complex)	4658	complex	STAT5B_(dimer)_active_(complex)	14938	complex	-a>
ErbB4/ErbB4/neuregulin_1_beta/neuregulin_1_beta_(complex)	4658	complex	heart_development_(abstract)	6337	abstract	-a>
ErbB4/ErbB4/neuregulin_1_beta/neuregulin_1_beta_(complex)	4658	complex	STAT5A	14932	protein	-a|
ErbB4/ErbB4/neuregulin_1_beta/neuregulin_1_beta_(complex)	4658	complex	ErbB4/ErbB4/neuregulin_1_beta/neuregulin_1_beta/Fyn_(complex)	4659	complex	component>
Atypical_PKCs_(family)	1484	family	Insulin_responsive_Vesicles_(complex)	7419	complex	-a|
Atypical_PKCs_(family)	1484	family	NUMB/Atypical_PKCs/Par6_(complex)	10121	complex	component>
Atypical_PKCs_(family)	1484	family	Nephrin/NEPH1/Par3/Par6/Atypical_PKCs_(complex)	9512	complex	component>
Atypical_PKCs_(family)	1484	family	Par3/Par6/Atypical_PKCs_(complex)	11421	complex	component>
Atypical_PKCs_(family)	1484	family	NGF_(dimer)/TRKA/p62/Atypical_PKCs_(complex)	9692	complex	component>
Atypical_PKCs_(family)	1484	family	NGF_(dimer)/p75(NTR)/TRAF6/RIP2/IRAK/p62/Atypical_PKCs_(complex)	9685	complex	component>
NCOA2	9343	protein	E2/ERB_(dimer)/TIF2_(complex)	4096	complex	component>
NCOA2	9343	protein	T-DHT/AR/TIF2_(complex)	15225	complex	component>
NOTCH3	9835	protein	NOTCH3_heterodimer_(complex)	9836	complex	component>
NOTCH3	9835	protein	NTM3/NEC3_heterodimer_(complex)	10066	complex	component>
NOTCH3	9835	protein	NTM-NEC_3_heterodimer_(complex)	10058	complex	component>
NOTCH3	9835	protein	NICD_(family)	9725	family	member>
HMGB1/TLR2/TLR1/MYD88/TIRAP_(complex)	6650	complex	HMGB1/TLR2/TLR1/MYD88/TIRAP/IRAK/IRAK2/IRAK4_(complex)	6651	complex	component>
ATR/ATRIP/ATM_(complex)	1482	complex	ABL1	140	protein	-a>
ATR/ATRIP/ATM_(complex)	1482	complex	NBN	9294	protein	-a>
ATR/ATRIP/ATM_(complex)	1482	complex	RPA1	13780	protein	-a|
Exosome_Complex_(complex)	4802	complex	BRF1/mRNA_Degradation_Complex_(complex)	1921	complex	component>
Exosome_Complex_(complex)	4802	complex	TTP/mRNA_Degradation_Complex_(complex)	16046	complex	component>
ATM/TRF2_(complex)	1403	complex	ATM	1398	protein	-a>
Cargo/Importin-alpha_(complex)	2229	complex	Cargo/Importin-alpha/Ran/GTP/Importin-beta_(complex)	2231	complex	component>
Slit2/Glypican-1_(complex)	14449	complex	Robo1/Slit2/Glypican-1_(complex)	13746	complex	component>
RNF125/E2_enzyme_(UBE2K_UbcH5a-c)/K48-polyubiquitin_(complex)	13721	complex	E2_enzyme_(UBE2K_UbcH5a-c)_(family)	4051	family	-a>
RNF125/E2_enzyme_(UBE2K_UbcH5a-c)/K48-polyubiquitin_(complex)	13721	complex	RNF125	13720	protein	-a>
RNF125/E2_enzyme_(UBE2K_UbcH5a-c)/K48-polyubiquitin_(complex)	13721	complex	K48-Ub_RIG-I/MDA5_(complex)	7819	complex	-a>
PPARA/_Fatty_Acid_Complex_(Activated_PPARA)_(complex)	12458	complex	Activated_PPARA/RXRA_Heterodimer_(complex)	302	complex	component>
CCT/TriC(ADP)_(complex)	2412	complex	actin/tubulin-bound_CCT/TriC(ADP)_(complex)	221	complex	component>
CCT/TriC(ADP)_(complex)	2412	complex	CCT/TriC(ADP)-associated_non-native_tubulin_(complex)	2413	complex	component>
CCT/TriC(ADP)_(complex)	2412	complex	CCT/TriC_(ADP)_associated_actin_(complex)	2410	complex	component>
CCT/TriC(ADP)_(complex)	2412	complex	CCT/TriC/substrate_complex_(complex)	2418	complex	component>
CCT/TriC(ATP)_(complex)	2415	complex	CCT/TriC(ATP)-associated_actin_(complex)	2416	complex	component>
K63-linked_polyUb_p-IRAK1/TRAF6_(complex)	7825	complex	TRAF6/K63-linked_polyUb_p-IRAK1/IKK_complex_(complex)	15895	complex	component>
Laminin_4_(complex)	8176	complex	alpha6/beta1_Integrin/Laminin_4_(complex)	754	complex	component>
PPP1R14A	12492	protein	secretion_(abstract)	14099	abstract	-a>
PPP1R14A	12492	protein	PPP1R12B	12489	protein	-a|
Ku/Artemis/DNA-PKcs_(dimer)/DNTT_(complex)	8092	complex	Ku/Artemis/DNA-PKcs_(dimer)/DNTT/XRCC4_(dimer)/Ligase_IV_(complex)	8093	complex	component>
G_beta/gamma/PI3K_(complex)	5401	complex	platelet_aggregation_(abstract)	12165	abstract	-a>
FPRL1_ligands_(family)	5317	family	FPRL1/FPRL1_ligands_(complex)	5318	complex	component>
FPRL1_ligands_(family)	5317	family	Ligands_of_GPCRs_that_activate_Gi_(family)	8325	family	member>
FPRL1_ligands_(family)	5317	family	Ligands_of_GPCRs_that_activate_Gq/11_(family)	8326	family	member>
USP8	16406	protein	Ub-NRDP1/P-USP8_(complex)	16192	complex	component>
EGR3	4304	protein	FASLG	4963	protein	-t>
Ca_impermeable_AMPA_receptors_(family)	2040	family	NMDA_receptor_complex_(complex)	9760	complex	-a>
Ca_impermeable_AMPA_receptors_(family)	2040	family	Ca_impermeable_AMPA_receptor_ligand_complex_(complex)	2039	complex	component>
LBP	8215	protein	LBP/bacterial_LPS_(complex)	8216	complex	component>
phospho-Emi1(Ser_145_Ser_149)/Cdc20/Cdh1_complexes_(complex)	11836	complex	phospho-Emi1/Cdc20/Cdh1_complexes_(family)	11839	family	member>
MALT1_trimer_bound_to_Bcl10_and_CARMA1_trimer_(complex)	8544	complex	TRAF6_trimer_bound_to_CBM_complex_(complex)	15887	complex	component>
MALT1_trimer_bound_to_Bcl10_and_CARMA1_trimer_(complex)	8544	complex	Ub-TRAF6_trimer_bound_to_CBM_complex_(complex)	16196	complex	component>
Netrin/DCC_oligomer/pFAK/Fyn/Nck-1/Rho_GEFs_DOCK/Trio_(complex)	9547	complex	Active_Rac1_bound_to_Netrin-1-DCC_complex_(complex)	379	complex	-a>
Netrin/DCC_oligomer/pFAK/Fyn/Nck-1/Rho_GEFs_DOCK/Trio_(complex)	9547	complex	Active_Rac1_bound_to_Netrin-1-DCC_complex_(complex)	379	complex	component>
KSR/14-3-3_(dimer)/MEK1-2_(complex)	8083	complex	KSR/14-3-3_/MEK1-2_(complex)	8084	complex	component>
RBL2	13323	protein	p130/E2F4/5/DP1/2_(complex)	11089	complex	component>
RBL2	13323	protein	p107-p130_(family)	11048	family	member>
EIF4EBP1	4375	protein	4E-BP1/eIF4E_(complex)	55	complex	component>
EIF4EBP1	4375	protein	EIF-4E/EIF4EBP_(complex)	4318	complex	component>
EIF4EBP1	4375	protein	eIF4E/4E-BP_(complex)	4370	complex	component>
EIF4EBP1	4375	protein	eIF4E/4E-BP1-P_(complex)	4371	complex	component>
MUC2	9131	protein	Sialyl-26_T_antigens_(family)	14294	family	member>
RAF1/A-RAF/B-RAF_(family)	13140	family	MEK1/MEK2_(family)	8808	family	-a>
TSC1/TSC2/14-3-3_family_(complex)	16028	complex	REDD1/14-3-3_family_(complex)	13364	complex	component>
TSC1/TSC2/14-3-3_family_(complex)	16028	complex	TSC1/TSC2_(complex)	16027	complex	component>
TSC1/TSC2_(complex)	16027	complex	RHEB	13569	protein	-a>
TSC1/TSC2_(complex)	16027	complex	RHEB/GTP_(complex)	13571	complex	-a|
TSC1/TSC2_(complex)	16027	complex	RHEB/GTP_(complex)	13571	complex	-a|
NOTCH2_heterodimer_(complex)	9832	complex	NOTCH2_heterodimer/DSL_(complex)	9834	complex	component>
NOTCH2_heterodimer_(complex)	9832	complex	NOTCH2_heterodimer/CNTN1_(complex)	9833	complex	component>
RAP1A/GTP_(complex)	13209	complex	ARAP3/RAP1A/GTP_(complex)	1164	complex	component>
RAP1A/GTP_(complex)	13209	complex	RAP1A/GTP/RAPL_(complex)	13210	complex	component>
Tropomyosin_(family)	15998	family	Inactive_Myosin_Actin_Contractile_Complex_(complex)	7347	complex	component>
Tropomyosin_(family)	15998	family	Calcium_Bound_Myosin_Actin_Complex_(complex)	2110	complex	component>
Tropomyosin_(family)	15998	family	ADP/Calcium_Bound_Myosin_Actin_Complex_(complex)	485	complex	component>
Tropomyosin_(family)	15998	family	ATP/Calcium_Bound_Myosin_Actin_Complex_(complex)	1411	complex	component>
SHH_Np/Cholesterol/CDO_(complex)	14261	complex	GLI2A	5758	protein	-a|
G-protein_alpha_(i)_(family)	5435	family	G-protein_alpha_(i)/_GTP_(complex)	5436	complex	component>
G-protein_alpha_(i)_(family)	5435	family	G-protein_alpha_(i)/GDP_(complex)	5437	complex	component>
Ephrin_A2/EPHA3-4-5-6-7_(complex)	4533	complex	actin_filament_depolymerization_(abstract)	215	abstract	-a>
Cyclin_D_(family)	3451	family	CDK4-6/Cyclin_D/p16INK4a_(complex)	2632	complex	component>
Cyclin_D_(family)	3451	family	CDK4-6/Cyclin_D_(complex)	2631	complex	component>
Cyclin_D_(family)	3451	family	Cyclin_D/CDK4/6/p21/p27_complex_(complex)	3453	complex	component>
Cyclin_D_(family)	3451	family	Cyclin_D/Cdk4/6/p21/p27_(complex)	3452	complex	component>
Cyclin_D_(family)	3451	family	Cyclin_D/phospho-CDK4/6/p21/p27_(complex)	3454	complex	component>
PPAR-alpha/PPAR_ligands_(complex)	12449	complex	PPAR-alpha/PPAR_ligands/RXR_(complex)	12450	complex	component>
NFE2L2	9661	protein	Nrf2/bZip_(complex)	9959	complex	component>
INK4A_(family)	7387	family	Cdk4/6/INK4A_complex_(complex)	2634	complex	component>
CENPA/H4_Tetramer_(complex)	2720	complex	HJURP/CENPA_Complex_(complex)	6591	complex	component>
FOXO4-2	5307	protein	Forkhead_box_transcription_factor_(family)	5269	family	member>
